COR CODEX — Super Matrix (27 Systems),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE_SYSTEM,ENTRY,ALCHEMY,ARCHETYPES,COLORS,CRYSTALS,DEITIES,ELEMENTS,FREQUENCY,GEOMANCY,GEOMETRY,I_CHING,KABBALAH,LETTERS_HEBREW,LETTERS_LATIN,MAJOR_ARCANA,MAYAN,METALS,MINOR_ARCANA,NOTES,NUMBERS,PHYSIOLOGY,PLANETS,PLANTS,PLATONIC_SOLIDS,VICES,VIRTUES,ZODIAC,CHAKRAS
MAJOR_ARCANA,VIII — Strength,11. Citrinitas,The Warrior ; The Hero ; The King ,Gold; Red; Orange,SUNSTONE; TIGERS-EYE; CARNELIAN,Sekhmet [Egyptian]; Durga [Hindu]; Heracles [Other],Fire,126.22 Hz — Sun; 528 Hz — Miracles,Fortuna Major — Greater Fortune; Puer — The Youth,Pentagon; Triangle,34 — Great Power (Da Zhuang); 26 — Great Taming (Da Chu),Geburah (Severity); Tiferet (Beauty),Teth,S; T,VIII — Strength,Chicchan,Gold; Iron,King of Wands; Nine of Wands,C; D,8,Heart; Muscles; Blood,☉ Sun,Sunflower; Helianthus; Cinnamon,Tetrahedron,"Violence (Aggression, Destruction, Abuse); Pride (Arrogance, Hubris, Vanity)","Confidence (Strength, Mastery); Will (Drive, Resolve, Bravery)",♌ Leo,SOLAR-PLEXUS-MANIPURA
MAJOR_ARCANA,X — Wheel of Fortune,5. Fermentation,The Creator ; The King ; The Explorer ,Gold; Orange; Blue,CITRINE; AMBER; PYRITE,Fortuna [Other]; Zeus [Greek]; Sol [Other],Fire; Aether,183.58 Hz — Jupiter; 432 Hz — Harmony,Fortuna Major — Greater Fortune; Acquisitio — Gain,Circle; Dodecagon,14 — Possession (Da You); 24 — Return (Fu),Chesed (Mercy),Kaph,W; K,X — Wheel of Fortune,Caban,Tin,Ten of Pentacles; Ten of Wands,F♯,10,Liver; Circulatory system,♃ Jupiter,Oak; Olive; Frankincense,Dodecahedron,"Frivolity (False optimism, Sentimentality)","Joy (Celebration, Radiance); Sovereignty (Authority, Nobility, Justice)",♐ Sagittarius,SOLAR-PLEXUS-MANIPURA; CROWN-SAHASRARA
MAJOR_ARCANA,XI — Justice,3. Separation,The Queen ; The King ; The Priest ,Blue; White; Gold,SAPPHIRE; AGATE; JADE,Astraea [Greek]; Ma’at [Other]; Themis [Other],Air; Earth,432 Hz — Harmony,Albus — The White One; Fortuna Major — Greater Fortune,Square; Hexagon,10 — Treading (Lv); 06 — Conflict (Song),Geburah (Severity),Lamed,J; L,XI — Justice,Eb,Copper; Lead,Two of Swords; King of Swords,B,11,Kidneys; Heart,♀ Venus; ♄ Saturn,Olive; Sage,Hexahedron,Dogmatism (Fanaticism); Domination (Harshness),"Sovereignty (Authority, Nobility, Justice); Harmony (Alignment, Balance, Trust)",♎ Libra,ROOT-MULADHARA; HEART-ANAHATA
MAJOR_ARCANA,XII — The Hanged Man,2. Dissolution,The Mystic; The Healer ; The Shadow ,Indigo; Blue; Grey,AMETHYST; LARIMAR; MOONSTONE,Osiris [Egyptian]; Odin [Norse]; Yemaya [Other],Water; Aether,"4–8 Hz — Theta (Meditation, Dreams); 211.44 Hz — Neptune",Via — The Path; Tristitia — Sorrow,Point; Line,12 — Standstill (Pi); 39 — Obstruction (Jian),Yesod (Foundation); Kether (Crown),Mem,H; M,XII — The Hanged Man,Muluk,Platinum,Four of Cups; Eight of Cups,G♯,12,Blood; Lymphatic system,♆ Neptune,Willow; Blue Lotus; Lotus,Icosahedron,"Self-sacrifice (The shadow of service/martyrdom); Paralysis (Fear, Indecision)","Devotion (Loyalty, Mercy, Compassion, Empathy); Insight (Awareness, Light in darkness)",♓ Pisces,AJNA-THIRD-EYE; CROWN-SAHASRARA
MAJOR_ARCANA,XIII — Death,9. Mortificatio; 10. Putrefactio,The Destroyer ; The Shadow ; The Explorer ,Black; Crimson; Grey,OBSIDIAN; BLACK-ONYX; BLACK-TOURMALINE,Hades [Greek]; Pluto [Other]; Anubis [Egyptian],Water; Earth,140.25 Hz — Pluto; 0.5–4 Hz — Delta (Deep Sleep),Cauda Draconis — Dragon’s Tail; Tristitia — Sorrow,Point; Sphere,23 — Splitting Apart (Bo); 24 — Return (Fu),Binah (Understanding); Malkuth (Kingdom),Nun,D; N,XIII — Death,Cimi,Plutonium; Lead,Ten of Swords; Five of Cups,A♯; F,13,Blood; Bones; Spine,♇ Pluto; ♄ Saturn,Wormwood; Mullein; Yew,Hexahedron,Nihilism (Detachment); Obsession (Attachment),"Renewal (Transformation, Resurrection); Preservation (Survival, Resource awareness)",♏ Scorpio; ♑ Capricorn,ROOT-MULADHARA
MAJOR_ARCANA,XIV — Temperance,4. Conjunction; 5. Fermentation,The Healer ; The Mystic; The Priest ,Blue; White; Green,AQUAMARINE; AMETHYST; CLEAR-QUARTZ,Raphael [Angelic]; Kuan Yin [Other]; Sophia [Angelic],Fire; Water,432 Hz — Harmony; 528 Hz — Miracles,Conjunctio — Union; Laetitia — Joy,Triangle; Sri Yantra,11 — Peace (Tai); 48 — The Well (Jing),Tiferet (Beauty); Yesod (Foundation),Samekh,T; S,XIV — Temperance,Manik,Tin; Silver,Knight of Cups; Six of Cups,F♯; G♯,5,Liver; Circulatory system,♃ Jupiter,Chamomile; Angelica; Lemon Balm,Icosahedron,"Frivolity (False optimism, Sentimentality)","Harmony (Alignment, Balance, Trust); Clarity (Illumination, Healing, Vision)",♐ Sagittarius,SOLAR-PLEXUS-MANIPURA
MAJOR_ARCANA,XIX — The Sun,11. Citrinitas; 12. Rubedo,The Hero ; The King ; The Innocent,Gold; Yellow; Orange,CITRINE; AMBER; SUNSTONE,Apollo [Greek]; Helios [Greek]; Surya [Hindu],Fire,126.22 Hz — Sun; 528 Hz — Miracles,Fortuna Major — Greater Fortune; Laetitia — Joy,Circle; Triangle,30 — Clinging (Li); 14 — Possession (Da You),Tiferet (Beauty),Resh,S; R,XIX — The Sun,Ahau,Gold,Six of Wands; Ten of Cups,C,10,Heart; Eyes,☉ Sun,Sunflower; Bay Laurel; Heliotrope,Dodecahedron,"Pride (Arrogance, Hubris, Vanity)","Joy (Celebration, Radiance); Confidence (Strength, Mastery)",♌ Leo,SOLAR-PLEXUS-MANIPURA
MAJOR_ARCANA,XV — The Devil,10. Putrefactio,The Shadow ; The Outlaw ; The Destroyer ,Black; Red; Copper,GARNET; OBSIDIAN; BLACK-ONYX,Pan [Greek]; Samael [Angelic]; Tezcatlipoca [Aztec/Mayan],Earth; Fire,147.85 Hz — Saturn; 396 Hz — Liberation,Carcer — The Prison; Rubeus — The Red One,Pentagram; Cube,47 — Oppression (Kun); 12 — Standstill (Pi),Malkuth (Kingdom); Binah (Understanding),Ayin,D; O,XV — The Devil,Etznab,Lead,Five of Pentacles; Seven of Cups,F,6,Skeletal system; Reproductive system,♄ Saturn,Nightshade; Mandrake; Tobacco,Hexahedron,"Lust (Overindulgence, Hunger); Obsession (Attachment); Avarice (Hoarding, Overproduction)","Preservation (Survival, Resource awareness)",♑ Capricorn,ROOT-MULADHARA
MAJOR_ARCANA,XVI — The Tower,1. Calcination,The Destroyer ; The Outlaw ; The Hero ,Crimson; Red; Black,BLOODSTONE; RED-JASPER; OBSIDIAN,Perun [Other]; Sekhmet [Egyptian]; Samael [Angelic],Fire,396 Hz — Liberation; 144.72 Hz — Mars,Rubeus — The Red One; Cauda Draconis — Dragon’s Tail,Triangle; Point,51 — Aroused (Zhen); 23 — Splitting Apart (Bo),Geburah (Severity),Peh,T; P,XVI — The Tower,Cauac,Iron; Aluminum,Five of Wands; Ten of Swords,D; B,7,Nervous system; Spine; Head,♂ Mars; ♅ Uranus,Cayenne; Black Pepper; Nettle,Tetrahedron,"Chaos (Disorder, Disarray); Violence (Aggression, Destruction, Abuse)","Freedom (Aspiration, Release); Will (Drive, Resolve, Bravery)",♈ Aries,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA
MAJOR_ARCANA,XVII — The Star,8. Sublimation,The Healer ; The Mystic; The Innocent,Blue; Indigo; White,AQUAMARINE; AMETHYST; LABRADORITE,Urania [Other]; Tara [Other]; Haniel [Angelic],Air; Aether,852 Hz — Intuition; 207.36 Hz — Uranus,Laetitia — Joy; Fortuna Major — Greater Fortune,Hexagram; Flower of Life,61 — Inner Truth (Zhong Fu); 42 — Increase (Yi),Netzach (Victory); Kether (Crown),Tzaddi,S; T,XVII — The Star,Lamat,Aluminum; Silver,Ace of Cups; Page of Cups,B; G♯,8,Lymphatic system; Circulatory system,♅ Uranus,Water Lily; Blue Lotus; Lily,Star Tetrahedron (Merkaba); Octahedron,"Aimlessness (False starts, Disarray)","Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Renewal (Transformation, Resurrection)",♒ Aquarius,CROWN-SAHASRARA
MAJOR_ARCANA,XVIII — The Moon,2. Dissolution,The Mystic; The Mother ; The Shadow ,Silver; Indigo; White,MOONSTONE; SELENITE; LARIMAR,Selene [Greek]; Nyx [Greek]; Hecate [Other],Water,"210.42 Hz — Moon; 4–8 Hz — Theta (Meditation, Dreams)",Populus — The People; Via — The Path,Vesica Piscis; Circle,29 — Abyss (Kan); 36 — Darkening Light (Ming Yi),Yesod (Foundation),Qoph,M; Q,XVIII — The Moon,Akbal; Muluk,Silver; Platinum,Seven of Cups; Eight of Cups,G♯,9,Pineal; Blood,☽ Moon; ♆ Neptune,Mugwort; Willow; Water Lily,Icosahedron,"Delusion (Illusion, Confusion); Self-sacrifice (The shadow of service/martyrdom)","Insight (Awareness, Light in darkness); Devotion (Loyalty, Mercy, Compassion, Empathy)",♓ Pisces; ♋ Cancer,AJNA-THIRD-EYE; CROWN-SAHASRARA
MAJOR_ARCANA,XX — Judgement,12. Rubedo,The Prophet ; The Healer ; The Destroyer ,Violet; White; Gold,CLEAR-QUARTZ; MOLDAVITE; SODALITE,Gabriel [Angelic]; Osiris [Egyptian]; Michael [Angelic],Fire; Aether,963 Hz — Crown; 140.25 Hz — Pluto,Caput Draconis — Dragon’s Head; Fortuna Major — Greater Fortune,Triangle; Point,20 — Contemplation (Guan); 49 — Revolution (Ge),Hod (Glory); Kether (Crown),Shin,J; S,XX — Judgement,Etznab; Ahau,Plutonium; Gold,Ace of Wands; King of Swords,A♯; C,2,Lungs; Immune system; Head,♇ Pluto,Frankincense; Rosemary; Pine,Dodecahedron,Dogmatism (Fanaticism),"Renewal (Transformation, Resurrection); Clarity (Illumination, Healing, Vision)",♏ Scorpio,AJNA-THIRD-EYE; CROWN-SAHASRARA
MAJOR_ARCANA,XXI — The World,7. Coagulation; 12. Rubedo,The Creator ; The King ; The Mother ,Gold; Green; Blue,DIAMOND; CLEAR-QUARTZ; EMERALD,Trinity [Other]; Ten Sephiroth [Other]; YHVH seed-letter [Other],Earth; Aether,432 Hz — Harmony; 174 Hz — Foundation,Conjunctio — Union; Acquisitio — Gain,Circle; Sphere,63 — After Completion (Ji Ji); 64 — Before Completion (Wei Ji),Malkuth (Kingdom); Kether (Crown),Tav,W; T,XXI — The World,Caban; Ahau,Lead; Gold,Ace of Pentacles; Ten of Pentacles,F; C,3,Circulatory system; Skeletal system; Digestive system,♄ Saturn,Oak; Laurel; Wheat,Dodecahedron,"Repetition (Stagnation, Inertia)","Harmony (Alignment, Balance, Trust); Preservation (Survival, Resource awareness); Renewal (Transformation, Resurrection)",♑ Capricorn; ♒ Aquarius,ROOT-MULADHARA; CROWN-SAHASRARA
MAYAN,Ahau,Rubedo; Citrinitas; Fermentation,The King; The Hero; The Prophet,Gold; Yellow; White,CITRINE; PYRITE; DIAMOND,Apollo [Greek]; Osiris [Egyptian]; Zeus [Greek],Fire; Aether,126.22 Hz — Sun; 528 Hz — Miracles; 963 Hz — Crown,Fortuna Major — Greater Fortune; Caput Draconis — Dragon’s Head; Laetitia — Joy,Circle; Point; Dodecagon,01 — Creative (Qian); 14 — Possession (Da You); 19 — Approach (Lin),Tiferet (Beauty); Kether (Crown); Chesed (Mercy),Resh; Aleph; Yod,A; H; R,XIX — The Sun; IV — The Emperor; 0 — The Fool,Ahau,Gold; Tin; Silver,Six of Wands; King of Wands; Ace of Wands,C; F♯; B,1; 10,Heart; Eyes; Head,☉ Sun; ♃ Jupiter; ♅ Uranus,Bay Laurel; Frankincense; Calendula,Dodecahedron; Tetrahedron; Star Tetrahedron (Merkaba),"Pride (Arrogance, Hubris, Vanity); Domination (Harshness)","Sovereignty (Authority, Nobility, Justice); Joy (Celebration, Radiance); Initiation (New life, Threshold)",♌ Leo; ♐ Sagittarius; ♒ Aquarius,SOLAR-PLEXUS-MANIPURA; CROWN-SAHASRARA
MAYAN,Akbal,Dissolution; Mortificatio; Sublimation,The Mystic; The Shadow; The Prophet,Indigo; Silver; Black; Violet,AMETHYST; MOONSTONE; OBSIDIAN; LABRADORITE,Nyx [Greek]; Archangel Gabriel [Other],Water; Aether,"210.42 Hz — Moon; 211.44 Hz — Neptune; 4–8 Hz — Theta (Meditation, Dreams)",Tristitia — Sorrow; Populus — The People; Via — The Path,Sphere; Circle; Point,29 — Abyss (Kan); 23 — Splitting Apart (Bo); 02 — receptive (Kun),Yesod (Foundation); Binah (Understanding); Kether (Crown),Nun; Qoph; Ayin,A; Q; N,XVIII — The Moon; II — The High Priestess; XII — The Hanged Man,Akbal,Silver; Platinum; Lead,Four of Cups; Seven of Cups; Nine of Cups,G♯; D♯; A♯,2; 9; 12,Pineal; Eyes; Blood,☽ Moon; ♆ Neptune; ♇ Pluto,Blue Lotus; Artemisia; Cypress; Ayahuasca,Icosahedron; Dodecahedron,"Delusion (Illusion, Confusion); Nihilism (Detachment)","Insight (Awareness, Light in darkness); Renewal (Transformation, Resurrection); Devotion (Loyalty, Mercy, Compassion, Empathy)",♓ Pisces; ♋ Cancer; ♏ Scorpio,AJNA-THIRD-EYE; CROWN-SAHASRARA
MAYAN,Ben,Coagulation; Rubedo; Fermentation,The Father; The King; The Priest,Gold; Green; Black,PYRITE; SMOKY-QUARTZ; JADE,Zeus [Greek]; Osiris [Egyptian],Earth; Fire,183.58 Hz — Jupiter; 126.22 Hz — Sun; 174 Hz — Foundation,Fortuna Major — Greater Fortune; Acquisitio — Gain; Carcer — The Prison,Line; Cube; Hexagon,34 — Great Power (Da Zhuang); 14 — Possession (Da You),Chesed (Mercy); Tiferet (Beauty); Malkuth (Kingdom),Vav; Lamed; Bet,B; N; R,IV — The Emperor; XIX — The Sun; XI — Justice,Ben,Tin; Gold; Lead,King of Wands; Six of Wands; Four of Wands,F♯; C; F,4; 10; 11,Spine; Heart; Bones,♃ Jupiter; ☉ Sun; ♄ Saturn,Banyan; Cedar; Bay Laurel; Barley,Hexahedron; Dodecahedron,Domination (Harshness); Dogmatism (Fanaticism),"Sovereignty (Authority, Nobility, Justice); Preservation (Survival, Resource awareness); Confidence (Strength, Mastery)",♐ Sagittarius; ♌ Leo; ♑ Capricorn,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA
MAYAN,Caban,Coagulation; Calcination; Fermentation,The Mother; The Destroyer; The Explorer,Green; Copper; Black,HEMATITE; SMOKY-QUARTZ; MOSS-AGATE,Pachamama [Other]; Demeter [Greek],Earth; Water,174 Hz — Foundation; 147.85 Hz — Saturn; 417 Hz — Facilitation,Carcer — The Prison; Acquisitio — Gain; Via — The Path,Cube; Square; Sphere,02 — receptive (Kun); 16 — Enthusiasm (Yu); 24 — Return (Fu),Malkuth (Kingdom); Geburah (Severity); Yesod (Foundation),Bet; Tav; Mem,C; B; N,XXI — The World; X — Wheel of Fortune; XVI — The Tower,Caban,Lead; Mercury; Gold,Four of Wands; Ten of Wands; Ace of Pentacles,F; D♯; C,4; 8; 10,Bones; Muscular system; Digestive system,♄ Saturn; ♅ Uranus; ☽ Moon,Corn; Grain; Cedar; Grass,Hexahedron; Icosahedron,"Repetition (Stagnation, Inertia); Avarice (Hoarding, Overproduction)","Preservation (Survival, Resource awareness); Freedom (Aspiration, Release); Renewal (Transformation, Resurrection)",♑ Capricorn; ♍ Virgo; ♒ Aquarius,ROOT-MULADHARA
MAYAN,Cauac,Sublimation; Dissolution; Calcination,The Destroyer; The Healer; The Explorer,Blue; Violet; Crimson,AQUAMARINE; LABRADORITE; AMETHYST,Tlaloc [Aztec/Mayan]; Archangel Uriel [Other]; Tezcatlipoca [Aztec/Mayan],Water; Air; Fire,417 Hz — Facilitation; 211.44 Hz — Neptune; 30–100 Hz — Gamma (Peak Cognition),Fortuna Minor — Lesser Fortune; Via — The Path; Rubeus — The Red One,Triangle; Sphere; Line,59 — Dispersion (Huan); 03 — Difficulty (Zhun),Geburah (Severity); Kether (Crown); Yesod (Foundation),Heh; Qoph; Resh,C; A; U,XVI — The Tower; XVII — The Star; XIV — Temperance,Cauac,Platinum; Mercury; Iron,Eight of Wands; Five of Wands; Ace of Cups,D; G; E,5,Respiratory system; Circulatory system; Skin,♅ Uranus; ♆ Neptune; ♂ Mars,Eucalyptus; Grass; Cactus,Tetrahedron; Icosahedron; Dodecahedron,"Chaos (Disorder, Disarray); Violence (Aggression, Destruction, Abuse)","Energy (Intensity, Creativity, Imagination); Freedom (Aspiration, Release); Renewal (Transformation, Resurrection)",♒ Aquarius; ♓ Pisces; ♈ Aries,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; CROWN-SAHASRARA
MAYAN,Chicchan,Calcination; Rubedo; Fermentation,The Warrior; The Hero; The Destroyer,Red; Crimson; Gold,CARNELIAN; BLOODSTONE; RED-JASPER; GARNET,Quetzalcoatl [Aztec/Mayan]; Sekhmet [Egyptian]; Agni [Hindu],Fire; Earth,144.72 Hz — Mars; 396 Hz — Liberation; 528 Hz — Miracles,Puer — The Youth; Rubeus — The Red One; Cauda Draconis — Dragon’s Tail,Triangle; Pentagram; Line,21 — Biting Through (Shi Ke); 32 — Duration (Heng),Geburah (Severity); Tiferet (Beauty); Yesod (Foundation),Shin; Nun; Teth,C; S; K,VIII — Strength; XVI — The Tower; XIII — Death,Chicchan,Iron; Copper,Five of Wands; Eight of Wands; Knight of Wands,D; F♯; G,5; 8; 13,Blood; Muscles; Spine,♂ Mars; ♇ Pluto; ☉ Sun,Cayenne; Chili; Ginger; Black Pepper,Tetrahedron; Star Tetrahedron (Merkaba),"Violence (Aggression, Destruction, Abuse); Obsession (Attachment)","Will (Drive, Resolve, Bravery); Energy (Intensity, Creativity, Imagination); Renewal (Transformation, Resurrection)",♈ Aries; ♏ Scorpio; ♌ Leo,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA
MAYAN,Chuen,Fermentation; Distillation; Rubedo,The Creator; The Trickster; The Explorer,Orange; Gold; Blue,FLUORITE; CITRINE; LABRADORITE,Hermes [Greek]; Xochipilli [Aztec/Mayan]; Apollo [Greek],Air; Fire,741 Hz — Awakening; 141.27 Hz — Mercury; 528 Hz — Miracles,Laetitia — Joy; Albus — The White One; Conjunctio — Union,Circle; Pentagram; Line,16 — Enthusiasm (Yu); 01 — Creative (Qian); 17 — Following (Sui),Hod (Glory); Netzach (Victory); Tiferet (Beauty),Yod; Gimel; Kaph,C; H; M,I — The Magician; 0 — The Fool; III — The Empress,Chuen,Mercury; Copper; Gold,Page of Wands; Page of Cups; Knight of Wands,C♯; G; A,1; 3; 10,Brain; Nervous system; Muscles,☿ Mercury; ♀ Venus; ☉ Sun,Cacao; Basil; Apple Blossom; Frankincense,Octahedron; Dodecahedron,"Frivolity (False optimism, Sentimentality); Aimlessness (False starts, Disarray)","Energy (Intensity, Creativity, Imagination); Joy (Celebration, Radiance); Clarity (Illumination, Healing, Vision)",♊ Gemini; ♌ Leo; ♎ Libra,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA
MAYAN,Cib,Distillation; Coagulation; Mortificatio,The Sage; The Priest; The Mystic,Grey; White; Indigo,LABRADORITE; SMOKY-QUARTZ; AMETHYST,Thoth [Egyptian]; Anubis [Egyptian]; Odin [Norse],Earth; Air,741 Hz — Awakening; 147.85 Hz — Saturn; 141.27 Hz — Mercury,Albus — The White One; Tristitia — Sorrow; Fortuna Minor — Lesser Fortune,Octagon; Line; Cube,52 — Keeping Still (Gen); 04 — Youthful Folly (Meng); 20 — Contemplation (Guan),Binah (Understanding); Hod (Glory); Tiferet (Beauty),Cheth; Yod; Resh,C; I; B,IX — The Hermit; V — The Hierophant; XX — Judgement,Cib,Lead; Mercury; Silver,Page of Swords; Four of Swords; King of Cups,B; F; C♯,9; 5; 8,Brain; Bones; Eyes,♄ Saturn; ☿ Mercury; ☽ Moon,Cedar; Bay Leaf; Frankincense,Hexahedron; Octahedron,"Dogmatism (Fanaticism); Paralysis (Fear, Indecision)","Insight (Awareness, Light in darkness); Clarity (Illumination, Healing, Vision); Preservation (Survival, Resource awareness)",♑ Capricorn; ♍ Virgo; ♓ Pisces,ROOT-MULADHARA; AJNA-THIRD-EYE
MAYAN,Cimi,Mortificatio; Putrefactio; Coagulation,The Destroyer; The Shadow; The Mystic,Black; Grey; Indigo,OBSIDIAN; BLACK-ONYX; SMOKY-QUARTZ; JET,Mictlantecuhtli [Aztec/Mayan]; Hades [Greek]; Anubis [Egyptian],Earth; Water,140.25 Hz — Pluto; 147.85 Hz — Saturn; 0.5–4 Hz — Delta (Deep Sleep),Cauda Draconis — Dragon’s Tail; Carcer — The Prison; Tristitia — Sorrow,Point; Cube; Sphere,23 — Splitting Apart (Bo); 47 — Oppression (Kun); 40 — Liberation (Jie),Binah (Understanding); Malkuth (Kingdom); Yesod (Foundation),Nun; Mem; Tav,C; M; T,XIII — Death; XX — Judgement; XV — The Devil,Cimi,Plutonium; Lead; Silver,Ten of Swords; Eight of Cups; Four of Swords,A♯; F; D♯,13; 8; 4,Bones; Blood; Spine,♇ Pluto; ♄ Saturn; ☽ Moon,Cypress; Bay Leaf; Artemisia; Cedar,Hexahedron; Dodecahedron,"Nihilism (Detachment); Paralysis (Fear, Indecision); Repetition (Stagnation, Inertia)","Renewal (Transformation, Resurrection); Preservation (Survival, Resource awareness); Insight (Awareness, Light in darkness)",♏ Scorpio; ♑ Capricorn; ♓ Pisces,ROOT-MULADHARA
MAYAN,Eb,Separation; Distillation; Coagulation,The Explorer; The Innocent; The Sage,Yellow; Blue; White,CLEAR-QUARTZ; AGATE; LABRADORITE,Hermes [Greek]; Christos [Other]; Archangel Uriel [Other],Earth; Air,174 Hz — Foundation; 741 Hz — Awakening; 432 Hz — Harmony,Via — The Path; Fortuna Minor — Lesser Fortune; Conjunctio — Union,Line; Point; Circle,56 — The Wanderer (Lv); 40 — Liberation (Jie); 46 — Pushing Upward (Sheng),Malkuth (Kingdom); Tiferet (Beauty); Hod (Glory),Aleph; Lamed; Resh,E; B; R,0 — The Fool; IX — The Hermit; XXI — The World,Eb,Mercury; Lead; Gold,Eight of Wands; Six of Swords; Page of Swords,E; B; F♯,4; 9; 10,Muscular system; Nervous system; Head,☿ Mercury; ♄ Saturn; ☉ Sun,Grass; Birch; Bay,Hexahedron; Octahedron,"Aimlessness (False starts, Disarray); Paralysis (Fear, Indecision)","Freedom (Aspiration, Release); Initiation (New life, Threshold); Clarity (Illumination, Healing, Vision)",♍ Virgo; ♐ Sagittarius; ♒ Aquarius,ROOT-MULADHARA; THROAT-VISHUDDHA; CROWN-SAHASRARA
MAYAN,Etznab,Separation; Calcination; Distillation,The Warrior; The Sage; The Shadow,White; Red; Silver,CLEAR-QUARTZ; OBSIDIAN; BLOODSTONE,Tezcatlipoca [Aztec/Mayan]; Athena [Greek]; Archangel Michael [Other],Air; Fire,396 Hz — Liberation; 141.27 Hz — Mercury; 741 Hz — Awakening,Rubeus — The Red One; Albus — The White One; Cauda Draconis — Dragon’s Tail,Line; Point; Pentagram,38 — Opposition (Kui); 21 — Biting Through (Shi Ke); 43 — Breakthrough (Guai),Hod (Glory); Geburah (Severity); Binah (Understanding),Zayin; Peh; Ayin,E; T; Z,XI — Justice; XVI — The Tower; I — The Magician,Etznab,Mercury; Iron; Silver,Ace of Swords; Five of Swords; Knight of Swords,B; D; C♯,11; 5; 1,Eyes; Nervous system; Blood,☿ Mercury; ♂ Mars; ♇ Pluto,Artemisia; Black Pepper; Bay,Octahedron; Tetrahedron,"Violence (Aggression, Destruction, Abuse); Delusion (Illusion, Confusion)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Will (Drive, Resolve, Bravery)",♏ Scorpio; ♊ Gemini; ♈ Aries,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA
MAYAN,Ik,Distillation; Sublimation,The Sage; The Trickster; The Explorer,Blue; White; Grey,LABRADORITE; CLEAR-QUARTZ; FLUORITE; AQUAMARINE,Hermes [Greek]; Thoth [Egyptian]; Archangel Gabriel [Other]; Quetzalcoatl [Aztec/Mayan],Air; Aether,141.27 Hz — Mercury; 741 Hz — Awakening; 8–13 Hz — Alpha (Relaxed Awareness),Albus — The White One; Conjunctio — Union; Via — The Path,Line; Octagon; Point,57 — The Gentle (Xun); 20 — Contemplation (Guan); 04 — Youthful Folly (Meng),Hod (Glory); Chokmah (Wisdom); Tiferet (Beauty),Aleph; Heh; Yod,I; H; A,I — The Magician; XVII — The Star; IX — The Hermit,Ik,Mercury; Aluminum,Ace of Swords; Page of Swords; Knight of Swords,C♯; B; E,1; 5; 11,Lungs; Respiratory system; Nervous system,☿ Mercury; ♅ Uranus,Eucalyptus; Mint; Dill; Frankincense,Octahedron; Star Tetrahedron (Merkaba),"Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release)",♊ Gemini; ♒ Aquarius; ♎ Libra,THROAT-VISHUDDHA; CROWN-SAHASRARA
MAYAN,Imix,Dissolution; Conjunction,The Mother; The Healer; The Lover,Silver; White; Pink; Blue,MOONSTONE; PEARL; ROSE-QUARTZ; AQUAMARINE,Kuan Yin [Other]; Lakshmi [Hindu]; Isis [Egyptian]; Yemaya [Other],Water; Earth,"210.42 Hz — Moon; 432 Hz — Harmony; 4–8 Hz — Theta (Meditation, Dreams)",Populus — The People; Via — The Path; Laetitia — Joy,Circle; Vesica Piscis; Sphere,02 — receptive (Kun); 29 — Abyss (Kan); 08 — Holding Together (Bi),Yesod (Foundation); Binah (Understanding); Malkuth (Kingdom),Mem; Bet; Gimel,I; M; B,II — The High Priestess; III — The Empress; XVIII — The Moon,Imix,Silver; Copper,Ace of Cups; Two of Cups; Queen of Cups,G♯; A,2; 3; 6,Reproductive system; Blood; Kidneys,☽ Moon; ♆ Neptune; ♀ Venus,Blue Lotus; Apple Blossom; Chamomile; Cacao,Icosahedron; Hexahedron,"Dependence (Naïveté, Blind belief, Over-conformity); Delusion (Illusion, Confusion)","Fertility (Abundance); Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust)",♋ Cancer; ♓ Pisces; ♉ Taurus,SACRAL-SVADHISTHANA; HEART-ANAHATA; CROWN-SAHASRARA
